dataset,model,description-framework,role,n,strict_acc,relaxed_acc
hitom,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,150,69.33,69.33
hitom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,150,68.00,68.00
hitom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,150,70.00,70.00
hitom,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,150,0.00,0.00
hitom,meta-llama/llama-3.3-70b-instruct,no-description,FDM,150,66.67,66.67
hitom,meta-llama/llama-3.3-70b-instruct,no-description,MV,150,68.67,68.67
hitom,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,150,68.67,68.67
hitom,meta-llama/llama-3.3-70b-instruct,no-personality,MV,150,68.00,68.00
hitom,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,150,18.67,18.67
hitom,meta-llama/llama-4-scout,Cognitive Load Theory,MV,150,20.67,20.67
hitom,meta-llama/llama-4-scout,Dual-Process Theory,FDM,150,14.00,14.00
hitom,meta-llama/llama-4-scout,Dual-Process Theory,MV,150,11.33,11.33
hitom,meta-llama/llama-4-scout,Flow Theory,FDM,150,11.33,11.33
hitom,meta-llama/llama-4-scout,Flow Theory,MV,150,16.00,16.00
hitom,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,150,17.33,17.33
hitom,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,150,14.67,14.67
hitom,meta-llama/llama-4-scout,User Design Persona,FDM,150,8.00,8.00
hitom,meta-llama/llama-4-scout,User Design Persona,MV,150,9.33,9.33
hitom,meta-llama/llama-4-scout,User-Centered Design,FDM,150,19.33,19.33
hitom,meta-llama/llama-4-scout,User-Centered Design,MV,150,21.33,21.33
hitom,meta-llama/llama-4-scout,baseline,BASELINE,150,0.00,0.00
hitom,meta-llama/llama-4-scout,no-description,FDM,150,30.67,30.67
hitom,meta-llama/llama-4-scout,no-description,MV,150,22.67,22.67
hitom,meta-llama/llama-4-scout,no-personality,FDM,150,13.33,13.33
hitom,meta-llama/llama-4-scout,no-personality,MV,150,12.67,12.67
opentom,amazon/nova-micro-v1,Cognitive Load Theory,FDM,105,43.81,43.81
opentom,amazon/nova-micro-v1,Cognitive Load Theory,MV,105,42.86,42.86
opentom,amazon/nova-micro-v1,Dual-Process Theory,FDM,105,44.76,45.71
opentom,amazon/nova-micro-v1,Dual-Process Theory,MV,105,45.71,46.67
opentom,amazon/nova-micro-v1,Flow Theory,FDM,105,43.81,43.81
opentom,amazon/nova-micro-v1,Flow Theory,MV,105,49.52,50.48
opentom,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,105,44.76,44.76
opentom,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,105,45.71,48.57
opentom,amazon/nova-micro-v1,User Design Persona,FDM,105,42.86,42.86
opentom,amazon/nova-micro-v1,User Design Persona,MV,105,41.90,41.90
opentom,amazon/nova-micro-v1,User-Centered Design,FDM,105,41.90,42.86
opentom,amazon/nova-micro-v1,User-Centered Design,MV,105,41.90,41.90
opentom,amazon/nova-micro-v1,baseline,BASELINE,105,0.00,0.00
opentom,amazon/nova-micro-v1,no-description,FDM,105,44.76,44.76
opentom,amazon/nova-micro-v1,no-description,MV,105,40.95,40.95
opentom,amazon/nova-micro-v1,no-personality,FDM,105,42.86,42.86
opentom,amazon/nova-micro-v1,no-personality,MV,105,43.81,43.81
opentom,google/gemma-3-12b-it,Cognitive Load Theory,FDM,105,46.67,46.67
opentom,google/gemma-3-12b-it,Cognitive Load Theory,MV,105,47.62,49.52
opentom,google/gemma-3-12b-it,Dual-Process Theory,FDM,105,42.86,43.81
opentom,google/gemma-3-12b-it,Dual-Process Theory,MV,105,44.76,44.76
opentom,google/gemma-3-12b-it,Flow Theory,FDM,105,48.57,48.57
opentom,google/gemma-3-12b-it,Flow Theory,MV,105,49.52,49.52
opentom,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,105,44.76,44.76
opentom,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,105,44.76,45.71
opentom,google/gemma-3-12b-it,User Design Persona,FDM,105,42.86,42.86
opentom,google/gemma-3-12b-it,User Design Persona,MV,105,44.76,45.71
opentom,google/gemma-3-12b-it,User-Centered Design,FDM,105,42.86,42.86
opentom,google/gemma-3-12b-it,User-Centered Design,MV,105,44.76,44.76
opentom,google/gemma-3-12b-it,baseline,BASELINE,105,0.00,0.00
opentom,google/gemma-3-12b-it,no-description,FDM,105,46.67,49.52
opentom,google/gemma-3-12b-it,no-description,MV,105,48.57,51.43
opentom,google/gemma-3-12b-it,no-personality,FDM,105,45.71,45.71
opentom,google/gemma-3-12b-it,no-personality,MV,105,42.86,43.81
opentom,google/gemma-3-27b-it,Cognitive Load Theory,FDM,105,52.38,56.19
opentom,google/gemma-3-27b-it,Cognitive Load Theory,MV,105,54.29,56.19
opentom,google/gemma-3-27b-it,Dual-Process Theory,FDM,105,54.29,58.10
opentom,google/gemma-3-27b-it,Dual-Process Theory,MV,105,56.19,59.05
opentom,google/gemma-3-27b-it,Flow Theory,FDM,105,54.29,56.19
opentom,google/gemma-3-27b-it,Flow Theory,MV,105,54.29,57.14
opentom,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,105,52.38,57.14
opentom,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,105,54.29,57.14
opentom,google/gemma-3-27b-it,User Design Persona,FDM,105,53.33,56.19
opentom,google/gemma-3-27b-it,User Design Persona,MV,105,54.29,57.14
opentom,google/gemma-3-27b-it,User-Centered Design,FDM,105,54.29,59.05
opentom,google/gemma-3-27b-it,User-Centered Design,MV,105,56.19,58.10
opentom,google/gemma-3-27b-it,baseline,BASELINE,105,0.00,0.00
opentom,google/gemma-3-27b-it,no-description,FDM,105,51.43,56.19
opentom,google/gemma-3-27b-it,no-description,MV,105,53.33,55.24
opentom,google/gemma-3-27b-it,no-personality,FDM,105,54.29,58.10
opentom,google/gemma-3-27b-it,no-personality,MV,105,53.33,55.24
opentom,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,105,53.33,54.29
opentom,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,105,54.29,56.19
opentom,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,105,56.19,57.14
opentom,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,105,52.38,53.33
opentom,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,105,53.33,55.24
opentom,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,105,51.43,53.33
opentom,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,105,52.38,56.19
opentom,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,105,55.24,56.19
opentom,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,105,50.48,51.43
opentom,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,105,51.43,53.33
opentom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,105,56.19,57.14
opentom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,105,55.24,56.19
opentom,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,105,0.00,0.00
opentom,meta-llama/llama-3.3-70b-instruct,no-description,FDM,105,52.38,55.24
opentom,meta-llama/llama-3.3-70b-instruct,no-description,MV,105,49.52,53.33
opentom,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,105,55.24,57.14
opentom,meta-llama/llama-3.3-70b-instruct,no-personality,MV,105,52.38,54.29
opentom,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,105,54.29,57.14
opentom,meta-llama/llama-4-scout,Cognitive Load Theory,MV,105,52.38,56.19
opentom,meta-llama/llama-4-scout,Dual-Process Theory,FDM,105,52.38,55.24
opentom,meta-llama/llama-4-scout,Dual-Process Theory,MV,105,53.33,55.24
opentom,meta-llama/llama-4-scout,Flow Theory,FDM,105,48.57,52.38
opentom,meta-llama/llama-4-scout,Flow Theory,MV,105,50.48,53.33
opentom,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,105,50.48,52.38
opentom,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,105,53.33,55.24
opentom,meta-llama/llama-4-scout,User Design Persona,FDM,105,54.29,56.19
opentom,meta-llama/llama-4-scout,User Design Persona,MV,105,53.33,55.24
opentom,meta-llama/llama-4-scout,User-Centered Design,FDM,105,54.29,56.19
opentom,meta-llama/llama-4-scout,User-Centered Design,MV,105,53.33,55.24
opentom,meta-llama/llama-4-scout,baseline,BASELINE,105,0.00,0.00
opentom,meta-llama/llama-4-scout,no-description,FDM,105,58.10,60.00
opentom,meta-llama/llama-4-scout,no-description,MV,105,57.14,59.05
opentom,meta-llama/llama-4-scout,no-personality,FDM,105,50.48,53.33
opentom,meta-llama/llama-4-scout,no-personality,MV,105,50.48,53.33
tomato,amazon/nova-micro-v1,Cognitive Load Theory,FDM,150,49.33,94.00
tomato,amazon/nova-micro-v1,Cognitive Load Theory,MV,150,49.33,93.33
tomato,amazon/nova-micro-v1,Dual-Process Theory,FDM,150,50.67,96.00
tomato,amazon/nova-micro-v1,Dual-Process Theory,MV,150,49.33,93.33
tomato,amazon/nova-micro-v1,Flow Theory,FDM,150,49.33,94.67
tomato,amazon/nova-micro-v1,Flow Theory,MV,150,50.00,92.67
tomato,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,150,48.67,94.00
tomato,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,150,50.00,92.67
tomato,amazon/nova-micro-v1,User Design Persona,FDM,150,48.00,94.00
tomato,amazon/nova-micro-v1,User Design Persona,MV,150,46.67,93.33
tomato,amazon/nova-micro-v1,User-Centered Design,FDM,150,50.00,96.00
tomato,amazon/nova-micro-v1,User-Centered Design,MV,150,49.33,94.67
tomato,amazon/nova-micro-v1,baseline,BASELINE,150,0.67,1.33
tomato,amazon/nova-micro-v1,no-description,FDM,150,50.00,95.33
tomato,amazon/nova-micro-v1,no-description,MV,150,50.67,95.33
tomato,amazon/nova-micro-v1,no-personality,FDM,150,46.00,96.00
tomato,amazon/nova-micro-v1,no-personality,MV,150,50.00,94.67
tomato,google/gemma-3-12b-it,Cognitive Load Theory,FDM,150,64.67,96.00
tomato,google/gemma-3-12b-it,Cognitive Load Theory,MV,150,66.00,96.67
tomato,google/gemma-3-12b-it,Dual-Process Theory,FDM,150,64.00,94.00
tomato,google/gemma-3-12b-it,Dual-Process Theory,MV,150,65.33,96.00
tomato,google/gemma-3-12b-it,Flow Theory,FDM,150,68.00,96.00
tomato,google/gemma-3-12b-it,Flow Theory,MV,150,67.33,96.00
tomato,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,150,66.00,96.67
tomato,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,150,63.33,96.00
tomato,google/gemma-3-12b-it,User Design Persona,FDM,150,68.00,95.33
tomato,google/gemma-3-12b-it,User Design Persona,MV,150,66.67,95.33
tomato,google/gemma-3-12b-it,User-Centered Design,FDM,150,67.33,96.67
tomato,google/gemma-3-12b-it,User-Centered Design,MV,150,66.00,97.33
tomato,google/gemma-3-12b-it,baseline,BASELINE,150,66.67,96.67
tomato,google/gemma-3-12b-it,no-description,FDM,150,68.00,95.33
tomato,google/gemma-3-12b-it,no-description,MV,150,68.67,96.67
tomato,google/gemma-3-12b-it,no-personality,FDM,150,67.33,96.67
tomato,google/gemma-3-12b-it,no-personality,MV,150,64.67,96.67
tomato,google/gemma-3-27b-it,Cognitive Load Theory,FDM,150,65.33,98.00
tomato,google/gemma-3-27b-it,Cognitive Load Theory,MV,150,65.33,98.00
tomato,google/gemma-3-27b-it,Dual-Process Theory,FDM,150,67.33,98.67
tomato,google/gemma-3-27b-it,Dual-Process Theory,MV,150,68.00,98.67
tomato,google/gemma-3-27b-it,Flow Theory,FDM,150,68.67,98.00
tomato,google/gemma-3-27b-it,Flow Theory,MV,150,67.33,97.33
tomato,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,150,67.33,98.67
tomato,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,150,69.33,98.67
tomato,google/gemma-3-27b-it,User Design Persona,FDM,150,67.33,98.67
tomato,google/gemma-3-27b-it,User Design Persona,MV,150,68.67,98.67
tomato,google/gemma-3-27b-it,User-Centered Design,FDM,150,68.00,97.33
tomato,google/gemma-3-27b-it,User-Centered Design,MV,150,68.00,98.00
tomato,google/gemma-3-27b-it,baseline,BASELINE,150,20.00,24.67
tomato,google/gemma-3-27b-it,no-description,FDM,150,68.00,98.67
tomato,google/gemma-3-27b-it,no-description,MV,150,67.33,98.00
tomato,google/gemma-3-27b-it,no-personality,FDM,150,67.33,98.00
tomato,google/gemma-3-27b-it,no-personality,MV,150,68.67,98.00
tomato,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,150,75.33,98.67
tomato,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,150,76.00,98.00
tomato,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,150,74.00,98.00
tomato,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,150,76.00,98.00
tomato,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,150,77.33,98.67
tomato,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,150,78.67,98.67
tomato,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,150,73.33,98.67
tomato,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,150,75.33,98.67
tomato,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,150,75.33,98.00
tomato,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,150,75.33,98.00
tomato,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,150,74.67,98.67
tomato,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,150,74.67,98.67
tomato,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,150,76.00,96.67
tomato,meta-llama/llama-3.3-70b-instruct,no-description,FDM,150,74.67,98.00
tomato,meta-llama/llama-3.3-70b-instruct,no-description,MV,150,74.67,98.00
tomato,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,150,72.67,98.00
tomato,meta-llama/llama-3.3-70b-instruct,no-personality,MV,150,76.00,98.00
tomato,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,150,70.67,94.67
tomato,meta-llama/llama-4-scout,Cognitive Load Theory,MV,150,72.67,98.67
tomato,meta-llama/llama-4-scout,Dual-Process Theory,FDM,150,74.00,98.00
tomato,meta-llama/llama-4-scout,Dual-Process Theory,MV,150,74.67,98.00
tomato,meta-llama/llama-4-scout,Flow Theory,FDM,150,72.00,98.00
tomato,meta-llama/llama-4-scout,Flow Theory,MV,150,72.00,98.00
tomato,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,150,72.00,97.33
tomato,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,150,72.67,98.00
tomato,meta-llama/llama-4-scout,User Design Persona,FDM,150,68.00,98.00
tomato,meta-llama/llama-4-scout,User Design Persona,MV,150,70.00,98.00
tomato,meta-llama/llama-4-scout,User-Centered Design,FDM,150,71.33,97.33
tomato,meta-llama/llama-4-scout,User-Centered Design,MV,150,71.33,97.33
tomato,meta-llama/llama-4-scout,baseline,BASELINE,150,16.67,18.00
tomato,meta-llama/llama-4-scout,no-description,FDM,150,70.67,95.33
tomato,meta-llama/llama-4-scout,no-description,MV,150,72.00,99.33
tomato,meta-llama/llama-4-scout,no-personality,FDM,150,68.67,94.00
tomato,meta-llama/llama-4-scout,no-personality,MV,150,70.67,98.00
