Dataset,Model,Framework,Role,Strict Match (%),Relaxed Match (%),Semantic Similarity,N Samples
empatheticDialogues_classification,google/gemma-3-12b-it,Dual-Process Theory,EXPERT,42.29,42.31,0.6759,5760
empatheticDialogues_classification,google/gemma-3-12b-it,Dual-Process Theory,FDM,44.38,44.38,0.6897,320
empatheticDialogues_classification,google/gemma-3-12b-it,Dual-Process Theory,MV,42.81,42.81,0.6801,320
empatheticDialogues_classification,google/gemma-3-12b-it,Flow Theory,EXPERT,44.00,44.00,0.6878,6080
empatheticDialogues_classification,google/gemma-3-12b-it,Flow Theory,FDM,45.31,45.31,0.6949,320
empatheticDialogues_classification,google/gemma-3-12b-it,Flow Theory,MV,45.31,45.31,0.6982,320
empatheticDialogues_classification,google/gemma-3-12b-it,Freudian Psychoanalysis,EXPERT,41.75,41.76,0.6708,5440
empatheticDialogues_classification,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,44.06,44.06,0.6879,320
empatheticDialogues_classification,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,43.75,43.75,0.6853,320
empatheticDialogues_classification,google/gemma-3-12b-it,User Design Persona,EXPERT,41.46,41.46,0.6678,5120
empatheticDialogues_classification,google/gemma-3-12b-it,User Design Persona,FDM,46.56,46.56,0.6976,320
empatheticDialogues_classification,google/gemma-3-12b-it,User Design Persona,MV,44.38,44.38,0.6880,320
empatheticDialogues_classification,google/gemma-3-12b-it,User-Centered Design,EXPERT,43.53,43.53,0.6840,3200
empatheticDialogues_classification,google/gemma-3-12b-it,User-Centered Design,FDM,43.44,43.44,0.6820,320
empatheticDialogues_classification,google/gemma-3-12b-it,User-Centered Design,MV,43.75,43.75,0.6857,320
empatheticDialogues_classification,google/gemma-3-12b-it,baseline,BASELINE,42.19,44.38,0.6748,320
empatheticDialogues_classification,google/gemma-3-12b-it,no-description,EXPERT,43.53,43.53,0.6850,3200
empatheticDialogues_classification,google/gemma-3-12b-it,no-description,FDM,44.38,44.38,0.6898,320
empatheticDialogues_classification,google/gemma-3-12b-it,no-description,MV,43.75,43.75,0.6878,320
empatheticDialogues_classification,google/gemma-3-12b-it,no-personality,EXPERT,42.79,42.79,0.6784,4800
empatheticDialogues_classification,google/gemma-3-12b-it,no-personality,FDM,45.62,45.62,0.6953,320
empatheticDialogues_classification,google/gemma-3-12b-it,no-personality,MV,44.69,44.69,0.6911,320
empatheticDialogues_classification,google/gemma-3-27b-it,Cognitive Load Theory,EXPERT,42.91,42.91,0.6752,3200
empatheticDialogues_classification,google/gemma-3-27b-it,Cognitive Load Theory,FDM,44.69,44.69,0.6884,320
empatheticDialogues_classification,google/gemma-3-27b-it,Cognitive Load Theory,MV,44.69,44.69,0.6912,320
empatheticDialogues_classification,google/gemma-3-27b-it,Dual-Process Theory,EXPERT,42.29,42.29,0.6693,4800
empatheticDialogues_classification,google/gemma-3-27b-it,Dual-Process Theory,FDM,44.06,44.06,0.6816,320
empatheticDialogues_classification,google/gemma-3-27b-it,Dual-Process Theory,MV,43.75,43.75,0.6792,320
empatheticDialogues_classification,google/gemma-3-27b-it,Flow Theory,EXPERT,43.58,43.58,0.6788,4800
empatheticDialogues_classification,google/gemma-3-27b-it,Flow Theory,FDM,46.88,46.88,0.6991,320
empatheticDialogues_classification,google/gemma-3-27b-it,Flow Theory,MV,46.25,46.25,0.6959,320
empatheticDialogues_classification,google/gemma-3-27b-it,Freudian Psychoanalysis,EXPERT,37.50,37.50,0.6391,5120
empatheticDialogues_classification,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,40.62,40.62,0.6583,320
empatheticDialogues_classification,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,40.31,40.31,0.6590,320
empatheticDialogues_classification,google/gemma-3-27b-it,User Design Persona,EXPERT,41.31,41.31,0.6651,3200
empatheticDialogues_classification,google/gemma-3-27b-it,User Design Persona,FDM,44.38,44.38,0.6891,320
empatheticDialogues_classification,google/gemma-3-27b-it,User Design Persona,MV,44.69,44.69,0.6921,320
empatheticDialogues_classification,google/gemma-3-27b-it,User-Centered Design,EXPERT,42.45,42.45,0.6722,3840
empatheticDialogues_classification,google/gemma-3-27b-it,User-Centered Design,FDM,43.44,43.44,0.6776,320
empatheticDialogues_classification,google/gemma-3-27b-it,User-Centered Design,MV,42.81,42.81,0.6739,320
empatheticDialogues_classification,google/gemma-3-27b-it,baseline,BASELINE,20.62,21.56,0.5196,320
empatheticDialogues_classification,google/gemma-3-27b-it,no-description,EXPERT,44.00,44.00,0.6827,4800
empatheticDialogues_classification,google/gemma-3-27b-it,no-description,FDM,45.94,45.94,0.6950,320
empatheticDialogues_classification,google/gemma-3-27b-it,no-description,MV,45.94,45.94,0.6950,320
empatheticDialogues_classification,google/gemma-3-27b-it,no-personality,EXPERT,43.27,43.27,0.6771,4800
empatheticDialogues_classification,google/gemma-3-27b-it,no-personality,FDM,45.31,45.31,0.6924,320
empatheticDialogues_classification,google/gemma-3-27b-it,no-personality,MV,45.94,45.94,0.6930,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,EXPERT,44.22,44.25,0.6909,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,44.38,44.38,0.6904,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,45.00,45.00,0.6967,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,EXPERT,44.81,44.81,0.6957,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,45.00,45.00,0.6987,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,45.94,45.94,0.7031,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Flow Theory,EXPERT,43.88,43.88,0.6892,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,45.62,45.62,0.7007,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,44.06,44.06,0.6903,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,EXPERT,44.22,44.22,0.6926,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,44.38,44.38,0.6942,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,45.00,45.00,0.6976,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User Design Persona,EXPERT,44.66,44.66,0.6930,3520
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,46.25,46.25,0.7024,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,45.62,45.62,0.6951,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User-Centered Design,EXPERT,44.44,44.44,0.6915,2880
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,44.38,44.38,0.6906,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,45.00,45.00,0.6939,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,0.00,0.00,0.3758,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-description,EXPERT,46.06,46.06,0.7019,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-description,FDM,46.25,46.25,0.7042,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-description,MV,46.88,46.88,0.7080,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-personality,EXPERT,44.47,44.47,0.6936,3200
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,45.00,45.00,0.6962,320
empatheticDialogues_classification,meta-llama/llama-3.3-70b-instruct,no-personality,MV,45.94,45.94,0.7029,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Cognitive Load Theory,EXPERT,43.12,43.12,0.6782,2560
empatheticDialogues_classification,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,45.94,45.94,0.6933,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Cognitive Load Theory,MV,44.69,44.69,0.6893,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Dual-Process Theory,EXPERT,43.12,43.12,0.6763,2240
empatheticDialogues_classification,meta-llama/llama-4-scout,Dual-Process Theory,FDM,45.62,45.62,0.6962,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Dual-Process Theory,MV,43.44,43.44,0.6796,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Flow Theory,EXPERT,42.31,42.31,0.6731,1600
empatheticDialogues_classification,meta-llama/llama-4-scout,Flow Theory,FDM,43.75,43.75,0.6832,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Flow Theory,MV,43.12,43.12,0.6803,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Freudian Psychoanalysis,EXPERT,42.77,42.81,0.6743,2560
empatheticDialogues_classification,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,46.25,46.25,0.6979,320
empatheticDialogues_classification,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,45.31,45.31,0.6944,320
empatheticDialogues_classification,meta-llama/llama-4-scout,User Design Persona,EXPERT,42.47,42.50,0.6726,2880
empatheticDialogues_classification,meta-llama/llama-4-scout,User Design Persona,FDM,44.06,44.06,0.6837,320
empatheticDialogues_classification,meta-llama/llama-4-scout,User Design Persona,MV,43.12,43.12,0.6788,320
empatheticDialogues_classification,meta-llama/llama-4-scout,User-Centered Design,EXPERT,43.00,43.03,0.6766,3200
empatheticDialogues_classification,meta-llama/llama-4-scout,User-Centered Design,FDM,45.00,45.00,0.6885,320
empatheticDialogues_classification,meta-llama/llama-4-scout,User-Centered Design,MV,45.62,45.62,0.6957,320
empatheticDialogues_classification,meta-llama/llama-4-scout,baseline,BASELINE,0.00,0.00,0.3751,320
empatheticDialogues_classification,meta-llama/llama-4-scout,no-description,EXPERT,43.54,43.54,0.6800,1920
empatheticDialogues_classification,meta-llama/llama-4-scout,no-description,FDM,43.44,43.44,0.6820,320
empatheticDialogues_classification,meta-llama/llama-4-scout,no-description,MV,44.06,44.06,0.6856,320
empatheticDialogues_classification,meta-llama/llama-4-scout,no-personality,EXPERT,43.05,43.05,0.6766,2560
empatheticDialogues_classification,meta-llama/llama-4-scout,no-personality,FDM,44.38,44.38,0.6861,320
empatheticDialogues_classification,meta-llama/llama-4-scout,no-personality,MV,44.38,44.38,0.6873,320
hitom,amazon/nova-micro-v1,Cognitive Load Theory,EXPERT,40.00,40.00,0.7540,900
hitom,amazon/nova-micro-v1,Cognitive Load Theory,FDM,50.67,50.67,0.7828,150
hitom,amazon/nova-micro-v1,Cognitive Load Theory,MV,45.33,45.33,0.7684,150
hitom,amazon/nova-micro-v1,Dual-Process Theory,EXPERT,42.58,42.58,0.7608,1200
hitom,amazon/nova-micro-v1,Dual-Process Theory,FDM,52.67,52.67,0.8086,150
hitom,amazon/nova-micro-v1,Dual-Process Theory,MV,51.33,51.33,0.8030,150
hitom,amazon/nova-micro-v1,Flow Theory,EXPERT,39.67,39.67,0.7519,900
hitom,amazon/nova-micro-v1,Flow Theory,FDM,48.00,48.00,0.7904,150
hitom,amazon/nova-micro-v1,Flow Theory,MV,50.00,50.00,0.7983,150
hitom,amazon/nova-micro-v1,Freudian Psychoanalysis,EXPERT,41.43,41.43,0.7567,1050
hitom,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,48.00,48.00,0.7862,150
hitom,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,48.67,48.67,0.7922,150
hitom,amazon/nova-micro-v1,User Design Persona,EXPERT,40.58,40.58,0.7509,1200
hitom,amazon/nova-micro-v1,User Design Persona,FDM,52.00,52.00,0.8005,150
hitom,amazon/nova-micro-v1,User Design Persona,MV,47.33,47.33,0.7656,150
hitom,amazon/nova-micro-v1,User-Centered Design,EXPERT,41.33,41.33,0.7498,900
hitom,amazon/nova-micro-v1,User-Centered Design,FDM,44.67,44.67,0.7654,150
hitom,amazon/nova-micro-v1,User-Centered Design,MV,46.00,46.00,0.7662,150
hitom,amazon/nova-micro-v1,baseline,BASELINE,0.00,0.00,0.2287,150
hitom,amazon/nova-micro-v1,no-description,EXPERT,38.86,38.86,0.7380,1050
hitom,amazon/nova-micro-v1,no-description,FDM,48.00,48.00,0.7689,150
hitom,amazon/nova-micro-v1,no-description,MV,45.33,45.33,0.7698,150
hitom,amazon/nova-micro-v1,no-personality,EXPERT,39.48,39.48,0.7482,1350
hitom,amazon/nova-micro-v1,no-personality,FDM,45.33,45.33,0.7680,150
hitom,amazon/nova-micro-v1,no-personality,MV,48.67,48.67,0.7867,150
hitom,google/gemma-3-12b-it,Cognitive Load Theory,EXPERT,53.38,53.38,0.7938,2100
hitom,google/gemma-3-12b-it,Cognitive Load Theory,FDM,56.00,56.00,0.8071,150
hitom,google/gemma-3-12b-it,Cognitive Load Theory,MV,57.33,57.33,0.8122,150
hitom,google/gemma-3-12b-it,Dual-Process Theory,EXPERT,55.22,55.22,0.8018,1800
hitom,google/gemma-3-12b-it,Dual-Process Theory,FDM,56.67,56.67,0.8068,150
hitom,google/gemma-3-12b-it,Dual-Process Theory,MV,60.00,60.00,0.8236,150
hitom,google/gemma-3-12b-it,Flow Theory,EXPERT,54.78,54.78,0.7978,2550
hitom,google/gemma-3-12b-it,Flow Theory,FDM,60.67,60.67,0.8177,150
hitom,google/gemma-3-12b-it,Flow Theory,MV,62.67,62.67,0.8348,150
hitom,google/gemma-3-12b-it,Freudian Psychoanalysis,EXPERT,53.73,53.73,0.7948,2250
hitom,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,59.33,59.33,0.8246,150
hitom,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,60.00,60.00,0.8244,150
hitom,google/gemma-3-12b-it,User Design Persona,EXPERT,55.13,55.13,0.8015,1950
hitom,google/gemma-3-12b-it,User Design Persona,FDM,56.00,56.00,0.7900,150
hitom,google/gemma-3-12b-it,User Design Persona,MV,59.33,59.33,0.8235,150
hitom,google/gemma-3-12b-it,User-Centered Design,EXPERT,52.90,52.90,0.7907,2100
hitom,google/gemma-3-12b-it,User-Centered Design,FDM,54.67,54.67,0.7923,150
hitom,google/gemma-3-12b-it,User-Centered Design,MV,58.67,58.67,0.8143,150
hitom,google/gemma-3-12b-it,baseline,BASELINE,0.00,0.00,0.2374,150
hitom,google/gemma-3-12b-it,no-description,EXPERT,53.27,53.27,0.7904,1650
hitom,google/gemma-3-12b-it,no-description,FDM,56.67,56.67,0.8017,150
hitom,google/gemma-3-12b-it,no-description,MV,59.33,59.33,0.8140,150
hitom,google/gemma-3-12b-it,no-personality,EXPERT,53.29,53.29,0.7894,2100
hitom,google/gemma-3-12b-it,no-personality,FDM,58.67,58.67,0.8154,150
hitom,google/gemma-3-12b-it,no-personality,MV,59.33,59.33,0.8175,150
hitom,google/gemma-3-27b-it,Cognitive Load Theory,EXPERT,7.67,7.67,0.7323,1500
hitom,google/gemma-3-27b-it,Cognitive Load Theory,FDM,8.00,8.00,0.7521,150
hitom,google/gemma-3-27b-it,Cognitive Load Theory,MV,4.67,4.67,0.7565,150
hitom,google/gemma-3-27b-it,Dual-Process Theory,EXPERT,7.07,7.07,0.7339,3000
hitom,google/gemma-3-27b-it,Dual-Process Theory,FDM,4.67,4.67,0.7565,150
hitom,google/gemma-3-27b-it,Dual-Process Theory,MV,2.67,2.67,0.7387,150
hitom,google/gemma-3-27b-it,Flow Theory,EXPERT,9.03,9.03,0.7342,1950
hitom,google/gemma-3-27b-it,Flow Theory,FDM,8.00,8.00,0.7488,150
hitom,google/gemma-3-27b-it,Flow Theory,MV,8.67,8.67,0.7508,150
hitom,google/gemma-3-27b-it,Freudian Psychoanalysis,EXPERT,7.91,7.91,0.7343,2250
hitom,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,12.00,12.00,0.7434,150
hitom,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,6.00,6.00,0.7360,150
hitom,google/gemma-3-27b-it,User Design Persona,EXPERT,8.43,8.43,0.7305,2100
hitom,google/gemma-3-27b-it,User Design Persona,FDM,9.33,9.33,0.7529,150
hitom,google/gemma-3-27b-it,User Design Persona,MV,4.67,4.67,0.7425,150
hitom,google/gemma-3-27b-it,User-Centered Design,EXPERT,7.52,7.52,0.7366,2100
hitom,google/gemma-3-27b-it,User-Centered Design,FDM,9.33,9.33,0.7488,150
hitom,google/gemma-3-27b-it,User-Centered Design,MV,4.67,4.67,0.7622,150
hitom,google/gemma-3-27b-it,baseline,BASELINE,0.00,0.00,0.2110,150
hitom,google/gemma-3-27b-it,no-description,EXPERT,7.33,7.33,0.7393,1500
hitom,google/gemma-3-27b-it,no-description,FDM,8.67,8.67,0.7594,150
hitom,google/gemma-3-27b-it,no-description,MV,3.33,3.33,0.7542,150
hitom,google/gemma-3-27b-it,no-personality,EXPERT,6.11,6.11,0.7319,900
hitom,google/gemma-3-27b-it,no-personality,FDM,6.00,6.00,0.7357,150
hitom,google/gemma-3-27b-it,no-personality,MV,4.00,4.00,0.7534,150
hitom,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,EXPERT,66.33,66.33,0.8498,1500
hitom,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,68.00,68.00,0.8577,150
hitom,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,68.00,68.00,0.8538,150
hitom,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,EXPERT,67.20,67.20,0.8535,1500
hitom,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,66.67,66.67,0.8429,150
hitom,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,68.00,68.00,0.8554,150
hitom,meta-llama/llama-3.3-70b-instruct,Flow Theory,EXPERT,66.93,66.93,0.8515,1500
hitom,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,65.33,65.33,0.8421,150
hitom,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,68.67,68.67,0.8587,150
hitom,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,EXPERT,66.60,66.60,0.8519,1500
hitom,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,65.33,65.33,0.8445,150
hitom,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,66.67,66.67,0.8488,150
hitom,meta-llama/llama-3.3-70b-instruct,User Design Persona,EXPERT,67.80,67.80,0.8565,1500
hitom,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,70.00,70.00,0.8669,150
hitom,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,69.33,69.33,0.8625,150
hitom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,EXPERT,66.87,66.87,0.8524,1500
hitom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,68.00,68.00,0.8588,150
hitom,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,70.00,70.00,0.8605,150
hitom,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,0.00,0.00,0.2572,150
hitom,meta-llama/llama-3.3-70b-instruct,no-description,EXPERT,67.47,67.47,0.8562,1500
hitom,meta-llama/llama-3.3-70b-instruct,no-description,FDM,66.67,66.67,0.8532,150
hitom,meta-llama/llama-3.3-70b-instruct,no-description,MV,68.67,68.67,0.8610,150
hitom,meta-llama/llama-3.3-70b-instruct,no-personality,EXPERT,66.81,66.81,0.8517,1350
hitom,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,68.67,68.67,0.8592,150
hitom,meta-llama/llama-3.3-70b-instruct,no-personality,MV,68.00,68.00,0.8544,150
hitom,meta-llama/llama-4-scout,Cognitive Load Theory,EXPERT,20.07,20.07,0.7489,1350
hitom,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,18.67,18.67,0.7428,150
hitom,meta-llama/llama-4-scout,Cognitive Load Theory,MV,20.67,20.67,0.7464,150
hitom,meta-llama/llama-4-scout,Dual-Process Theory,EXPERT,13.71,13.71,0.7418,1050
hitom,meta-llama/llama-4-scout,Dual-Process Theory,FDM,14.00,14.00,0.7277,150
hitom,meta-llama/llama-4-scout,Dual-Process Theory,MV,11.33,11.33,0.7437,150
hitom,meta-llama/llama-4-scout,Flow Theory,EXPERT,15.08,15.08,0.7438,1200
hitom,meta-llama/llama-4-scout,Flow Theory,FDM,11.33,11.33,0.7481,150
hitom,meta-llama/llama-4-scout,Flow Theory,MV,16.00,16.00,0.7606,150
hitom,meta-llama/llama-4-scout,Freudian Psychoanalysis,EXPERT,13.92,13.92,0.7374,1200
hitom,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,17.33,17.33,0.7426,150
hitom,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,14.67,14.67,0.7363,150
hitom,meta-llama/llama-4-scout,User Design Persona,EXPERT,11.81,11.81,0.7358,1050
hitom,meta-llama/llama-4-scout,User Design Persona,FDM,8.00,8.00,0.7307,150
hitom,meta-llama/llama-4-scout,User Design Persona,MV,9.33,9.33,0.7425,150
hitom,meta-llama/llama-4-scout,User-Centered Design,EXPERT,19.08,19.08,0.7462,1200
hitom,meta-llama/llama-4-scout,User-Centered Design,FDM,19.33,19.33,0.7484,150
hitom,meta-llama/llama-4-scout,User-Centered Design,MV,21.33,21.33,0.7655,150
hitom,meta-llama/llama-4-scout,baseline,BASELINE,0.00,0.00,0.2506,150
hitom,meta-llama/llama-4-scout,no-description,EXPERT,24.57,24.57,0.7493,1050
hitom,meta-llama/llama-4-scout,no-description,FDM,30.67,30.67,0.7572,150
hitom,meta-llama/llama-4-scout,no-description,MV,22.67,22.67,0.7488,150
hitom,meta-llama/llama-4-scout,no-personality,EXPERT,14.73,14.73,0.7399,1500
hitom,meta-llama/llama-4-scout,no-personality,FDM,13.33,13.33,0.7558,150
hitom,meta-llama/llama-4-scout,no-personality,MV,12.67,12.67,0.7404,150
opentom,amazon/nova-micro-v1,Cognitive Load Theory,EXPERT,40.48,40.71,0.6964,420
opentom,amazon/nova-micro-v1,Cognitive Load Theory,FDM,43.81,43.81,0.7400,105
opentom,amazon/nova-micro-v1,Cognitive Load Theory,MV,42.86,42.86,0.7239,105
opentom,amazon/nova-micro-v1,Dual-Process Theory,EXPERT,41.19,42.38,0.7071,420
opentom,amazon/nova-micro-v1,Dual-Process Theory,FDM,44.76,45.71,0.7577,105
opentom,amazon/nova-micro-v1,Dual-Process Theory,MV,45.71,46.67,0.7315,105
opentom,amazon/nova-micro-v1,Flow Theory,EXPERT,45.14,46.10,0.7249,525
opentom,amazon/nova-micro-v1,Flow Theory,FDM,43.81,43.81,0.7292,105
opentom,amazon/nova-micro-v1,Flow Theory,MV,49.52,50.48,0.7342,105
opentom,amazon/nova-micro-v1,Freudian Psychoanalysis,EXPERT,45.56,47.78,0.7377,630
opentom,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,44.76,44.76,0.7554,105
opentom,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,45.71,48.57,0.7450,105
opentom,amazon/nova-micro-v1,User Design Persona,EXPERT,39.76,40.48,0.6836,420
opentom,amazon/nova-micro-v1,User Design Persona,FDM,42.86,42.86,0.7237,105
opentom,amazon/nova-micro-v1,User Design Persona,MV,41.90,41.90,0.6962,105
opentom,amazon/nova-micro-v1,User-Centered Design,EXPERT,41.75,42.22,0.6994,630
opentom,amazon/nova-micro-v1,User-Centered Design,FDM,41.90,42.86,0.7537,105
opentom,amazon/nova-micro-v1,User-Centered Design,MV,41.90,41.90,0.7171,105
opentom,amazon/nova-micro-v1,baseline,BASELINE,0.00,0.00,0.2403,105
opentom,amazon/nova-micro-v1,no-description,EXPERT,39.86,40.27,0.6815,735
opentom,amazon/nova-micro-v1,no-description,FDM,44.76,44.76,0.7400,105
opentom,amazon/nova-micro-v1,no-description,MV,40.95,40.95,0.6965,105
opentom,amazon/nova-micro-v1,no-personality,EXPERT,41.63,42.31,0.6943,735
opentom,amazon/nova-micro-v1,no-personality,FDM,42.86,42.86,0.7280,105
opentom,amazon/nova-micro-v1,no-personality,MV,43.81,43.81,0.7115,105
opentom,google/gemma-3-12b-it,Cognitive Load Theory,EXPERT,48.10,49.71,0.7770,1050
opentom,google/gemma-3-12b-it,Cognitive Load Theory,FDM,46.67,46.67,0.7762,105
opentom,google/gemma-3-12b-it,Cognitive Load Theory,MV,47.62,49.52,0.7778,105
opentom,google/gemma-3-12b-it,Dual-Process Theory,EXPERT,46.28,47.32,0.7760,2310
opentom,google/gemma-3-12b-it,Dual-Process Theory,FDM,42.86,43.81,0.7648,105
opentom,google/gemma-3-12b-it,Dual-Process Theory,MV,44.76,44.76,0.7717,105
opentom,google/gemma-3-12b-it,Flow Theory,EXPERT,47.43,48.13,0.7700,1575
opentom,google/gemma-3-12b-it,Flow Theory,FDM,48.57,48.57,0.7754,105
opentom,google/gemma-3-12b-it,Flow Theory,MV,49.52,49.52,0.7742,105
opentom,google/gemma-3-12b-it,Freudian Psychoanalysis,EXPERT,45.71,46.38,0.7744,1050
opentom,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,44.76,44.76,0.7668,105
opentom,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,44.76,45.71,0.7736,105
opentom,google/gemma-3-12b-it,User Design Persona,EXPERT,44.95,45.81,0.7819,1050
opentom,google/gemma-3-12b-it,User Design Persona,FDM,42.86,42.86,0.7609,105
opentom,google/gemma-3-12b-it,User Design Persona,MV,44.76,45.71,0.7835,105
opentom,google/gemma-3-12b-it,User-Centered Design,EXPERT,46.49,47.08,0.7795,1680
opentom,google/gemma-3-12b-it,User-Centered Design,FDM,42.86,42.86,0.7509,105
opentom,google/gemma-3-12b-it,User-Centered Design,MV,44.76,44.76,0.7657,105
opentom,google/gemma-3-12b-it,baseline,BASELINE,0.00,0.00,0.2620,105
opentom,google/gemma-3-12b-it,no-description,EXPERT,47.91,50.11,0.7843,1365
opentom,google/gemma-3-12b-it,no-description,FDM,46.67,49.52,0.7823,105
opentom,google/gemma-3-12b-it,no-description,MV,48.57,51.43,0.7767,105
opentom,google/gemma-3-12b-it,no-personality,EXPERT,44.38,46.10,0.7754,525
opentom,google/gemma-3-12b-it,no-personality,FDM,45.71,45.71,0.7686,105
opentom,google/gemma-3-12b-it,no-personality,MV,42.86,43.81,0.7564,105
opentom,google/gemma-3-27b-it,Cognitive Load Theory,EXPERT,53.25,56.19,0.8021,1260
opentom,google/gemma-3-27b-it,Cognitive Load Theory,FDM,52.38,56.19,0.8170,105
opentom,google/gemma-3-27b-it,Cognitive Load Theory,MV,54.29,56.19,0.7901,105
opentom,google/gemma-3-27b-it,Dual-Process Theory,EXPERT,51.90,54.38,0.7961,1050
opentom,google/gemma-3-27b-it,Dual-Process Theory,FDM,54.29,58.10,0.8227,105
opentom,google/gemma-3-27b-it,Dual-Process Theory,MV,56.19,59.05,0.8082,105
opentom,google/gemma-3-27b-it,Flow Theory,EXPERT,52.38,54.57,0.8001,1050
opentom,google/gemma-3-27b-it,Flow Theory,FDM,54.29,56.19,0.8138,105
opentom,google/gemma-3-27b-it,Flow Theory,MV,54.29,57.14,0.8014,105
opentom,google/gemma-3-27b-it,Freudian Psychoanalysis,EXPERT,52.10,54.48,0.7942,1050
opentom,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,52.38,57.14,0.8111,105
opentom,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,54.29,57.14,0.7953,105
opentom,google/gemma-3-27b-it,User Design Persona,EXPERT,52.57,55.05,0.8140,1050
